"","Country.Name","Country.Code","Indicator.Name","Indicator.Code","X2015","mathScores","readingScores","scienceScores"
"76113","Albania","ALB","GDP (constant 2010 US$)","NY.GDP.MKTP.KD",13035155128.1913,413.157,405.2588,427.225
"76294","Albania","ALB","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5",2.3,413.157,405.2588,427.225
"76344","Albania","ALB","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS",55.7000007629395,413.157,405.2588,427.225
"76361","Albania","ALB","Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no)","SG.LAW.NODC.HR",1,413.157,405.2588,427.225
"76370","Albania","ALB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",78.2031463414634,413.157,405.2588,427.225
"76445","Albania","ALB","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS",1.16760128654391,413.157,405.2588,427.225
"76587","Albania","ALB","Number of infant deaths","SH.DTH.IMRT",434,413.157,405.2588,427.225
"76648","Albania","ALB","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3",17.93662454,413.157,405.2588,427.225
"76837","Albania","ALB","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS",4.9,413.157,405.2588,427.225
"76904","Albania","ALB","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS",73.1673714847592,413.157,405.2588,427.225
"77017","Albania","ALB","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5",4.3,413.157,405.2588,427.225
"77688","Algeria","DZA","GDP (constant 2010 US$)","NY.GDP.MKTP.KD",189772334940.908,359.6062,349.8593,375.7451
"77869","Algeria","DZA","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5",1.4,359.6062,349.8593,375.7451
"77919","Algeria","DZA","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS",NA,359.6062,349.8593,375.7451
"77936","Algeria","DZA","Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no)","SG.LAW.NODC.HR",0,359.6062,349.8593,375.7451
"77945","Algeria","DZA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",75.8552926829268,359.6062,349.8593,375.7451
"78020","Algeria","DZA","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS",6.27421002746322,359.6062,349.8593,375.7451
"78162","Algeria","DZA","Number of infant deaths","SH.DTH.IMRT",20792,359.6062,349.8593,375.7451
"78223","Algeria","DZA","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3",35.56453306,359.6062,349.8593,375.7451
"78412","Algeria","DZA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS",4.6,359.6062,349.8593,375.7451
"78479","Algeria","DZA","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS",22.6002779039223,359.6062,349.8593,375.7451
"78592","Algeria","DZA","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5",3.1,359.6062,349.8593,375.7451
"85563","Argentina","ARG","GDP (constant 2010 US$)","NY.GDP.MKTP.KD",455453204462.872,409.0333,425.3031,432.2262
"85744","Argentina","ARG","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5",6.5,409.0333,425.3031,432.2262
